               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.057678,            0.029568,                   0,             0.46896,             0.75769,             0.61079,             0.27434,            0.034994,            0.010923,                   0,           0.0092703,           0.0092703,           0.0092703
                  39,            0.062288,            0.033039,                   0,             0.46896,             0.75769,             0.61079,             0.27434,            0.034994,            0.010923,                   0,           0.0092506,           0.0092506,           0.0092506
                  40,             0.04733,            0.023342,                   0,             0.43638,             0.78571,             0.61821,              0.3305,            0.034494,            0.010612,                   0,           0.0092309,           0.0092309,           0.0092309
                  41,            0.063454,            0.036618,                   0,             0.43638,             0.78571,             0.61821,              0.3305,            0.034494,            0.010612,                   0,           0.0092112,           0.0092112,           0.0092112
                  42,            0.056131,            0.031934,                   0,             0.41151,             0.92857,             0.63314,             0.33392,            0.034738,            0.010452,                   0,           0.0091914,           0.0091914,           0.0091914
                  43,            0.043142,            0.022571,                   0,             0.53793,             0.74932,             0.74888,             0.43238,            0.024095,            0.010077,                   0,           0.0091717,           0.0091717,           0.0091717
                  44,            0.057745,            0.033449,                   0,             0.53793,             0.74932,             0.74888,             0.43238,            0.024095,            0.010077,                   0,            0.009152,            0.009152,            0.009152
                  45,            0.065628,            0.033517,                   0,             0.97864,             0.64286,             0.86964,             0.46507,            0.025512,           0.0099926,                   0,           0.0091323,           0.0091323,           0.0091323
                  46,            0.045795,            0.028759,                   0,             0.35228,             0.71429,             0.41921,             0.18135,            0.040694,           0.0097697,                   0,           0.0091125,           0.0091125,           0.0091125
                  47,            0.062283,            0.031174,                   0,             0.35228,             0.71429,             0.41921,             0.18135,            0.040694,           0.0097697,                   0,           0.0090928,           0.0090928,           0.0090928
                  48,            0.063892,            0.036927,                   0,             0.49003,             0.89296,             0.65583,             0.35737,            0.034845,           0.0096169,                   0,           0.0090731,           0.0090731,           0.0090731
                  49,            0.060537,            0.028853,                   0,             0.49003,             0.89296,             0.65583,             0.35737,            0.034845,           0.0096169,                   0,           0.0090534,           0.0090534,           0.0090534
                  50,             0.05964,            0.034869,                   0,             0.71104,             0.71429,             0.78947,             0.45547,            0.032766,            0.010011,                   0,           0.0090337,           0.0090337,           0.0090337
                  51,            0.063561,            0.039221,                   0,             0.43192,             0.71429,             0.51941,             0.19737,            0.037007,             0.01067,                   0,           0.0090139,           0.0090139,           0.0090139
                  52,            0.059525,            0.027722,                   0,             0.43192,             0.71429,             0.51941,             0.19737,            0.037007,             0.01067,                   0,           0.0089942,           0.0089942,           0.0089942
                  53,            0.055214,            0.023164,                   0,             0.59288,             0.64286,             0.72926,             0.37808,            0.036113,             0.01044,                   0,           0.0089745,           0.0089745,           0.0089745
                  54,            0.047392,            0.022821,                   0,             0.54363,             0.78571,             0.68655,             0.27042,            0.036017,           0.0097308,                   0,           0.0089548,           0.0089548,           0.0089548
                  55,            0.062889,            0.038071,                   0,             0.54363,             0.78571,             0.68655,             0.27042,            0.036017,           0.0097308,                   0,           0.0089351,           0.0089351,           0.0089351
